index,employee_count,country,number_of_technologies,annual_rev
30002,0,United States,0,
30003,5,United States,1,195000.0
30004,14,United States,7,5000000.0
30005,0,,1,
30006,10,United States,3,25000000.0
30007,11,United States,9,3328000.0
30008,2,Ecuador,6,
30009,0,Germany,4,
30010,29,United States,12,11232000.0
30101,47,United States,9,50000000.0
30102,4,United States,14,3592000.0
30103,680,United States,5,64000000.0
30104,65,United States,13,10377000.0
30105,2,United States,8,30003000.0
30106,0,United States,3,2400000.0
30107,38,United States,18,990000.0
30108,520,United States,22,75000000.0
30109,26,United States,12,194000.0
30110,35,United States,25,8890000.0
30201,0,Iceland,2,1400000.0
30202,0,United States,0,
30203,75,United States,10,63000000.0
30205,140,United States,19,36000000.0
30206,58,United States,7,5993000.0
30208,3,United States,6,6000000.0
30209,9,United States,25,4420000.0
30210,3,United States,6,
30302,0,United States,5,2400000.0
30303,210,United States,46,170200000.0
30304,0,United States,0,
30305,39,India,17,1000000.0
30306,33,Argentina,3,169000.0
30307,10,United States,0,10000000.0
30308,3800,India,18,300000000.0
30309,47,Jordan,16,6000000.0
30401,1,United States,6,7000000.0
30402,27,United States,11,4749000.0
30403,89,Sweden,25,3000000.0
30404,0,Spain,5,
30405,0,United States,0,
30406,0,United States,0,
30407,48,United States,21,12601000.0
30408,27,United States,1,1126000.0
30409,5,United States,17,4789000.0
30410,1,United States,2,36191000.0
30501,0,United States,6,6000000.0
30503,3,India,5,3533000.0
30504,226000,Australia,25,41400000000.0
30505,49,United States,1,24259000.0
30506,43,United States,4,18007000.0
30507,0,United Kingdom,24,7000000.0
30508,21,United States,19,4123000.0
30509,71,United States,22,5115000.0
30510,44,India,20,3000000.0
30601,1,Portugal,0,
30602,250,United States,6,28978000.0
30603,38,United States,6,4389000.0
30605,12,United States,4,
30606,12,United States,10,6000000.0
30607,0,United States,10,2000000.0
30608,340,United States,21,240000000.0
30610,0,United States,2,
30701,200,United States,13,18750000.0
30702,29,United States,9,6726000.0
30703,9,Philippines,0,
30704,0,United States,3,1400000.0
30705,0,United States,0,1400000.0
30706,16,India,7,4000000.0
30707,4,United States,5,16074000.0
30709,2,United States,11,277000.0
30710,2,United States,2,6439000.0
30801,67,United States,6,9333000.0
30802,35,United States,0,11110000.0
30803,15,United States,17,4091000.0
30804,36,United States,2,1044000.0
30805,7,United States,3,2497000.0
30806,3,United States,12,5264000.0
30807,68,United States,7,19112000.0
30808,42,United States,0,2816000.0
30809,2,Hong Kong,10,30600000.0
30810,0,United States,12,
30901,3,Italy,10,
30902,120,United States,6,27035000.0
30903,1,,21,
30904,44,Canada,0,5910000.0
30905,6,United States,1,652000.0
30906,24,United States,15,8554000.0
30907,2,Singapore,3,
30908,47,United States,6,6000000.0
30909,47,United States,6,6000000.0
30910,2,United Kingdom,7,2800000.0
30002,0,United States,0,
30003,5,United States,1,195000.0
30004,14,United States,7,5000000.0
30005,0,,1,
30006,10,United States,3,25000000.0
30007,11,United States,9,3328000.0
30008,2,Ecuador,6,
30009,0,Germany,4,
30010,29,United States,12,11232000.0
30011,38,United States,5,2519000.0
30012,8,United States,9,
30013,5,United Kingdom,12,42000000.0
30014,1,United States,7,
30015,29,Ireland,12,2500000.0
30016,0,United States,3,7000000.0
30017,25000,United States,36,10300000000.0
30018,0,Germany,3,
30019,140,Denmark,16,5925000.0
30020,200,France,15,20880000.0
30021,0,United States,0,
30022,14,Canada,9,6000.0
30023,2,United States,8,673000.0
30024,4,,6,522000.0
30025,0,United States,2,
30026,0,United States,1,
30027,0,United States,7,
30029,1,United States,0,1400000.0
30030,0,Brazil,12,
30031,77,United States,10,13516000.0
30032,27,India,14,4420000.0
30033,0,,0,
30034,0,China,2,59100000.0
30035,0,Spain,10,
30036,0,,15,
30037,48,France,20,
30038,44,United States,12,4682000.0
30039,0,,4,
30040,0,Russia,0,
30041,31,United States,4,3800000.0
30042,110,United States,24,23200000.0
30043,33,India,4,2877000.0
30044,0,United States,0,
30045,3,Canada,14,402000.0
30047,34,Taiwan,8,
30048,0,China,1,
30049,0,United States,1,
30050,0,United States,3,35000000.0
30051,35,United Kingdom,9,3693000.0
30052,0,United States,0,
30053,6,United States,4,
30054,0,,3,
30055,150,Malaysia,13,2384000.0
30056,10,United States,10,40000000.0
30057,150,United States,13,12000000.0
30058,0,Czechia,9,
30059,0,United States,0,4200000.0
30060,0,Czechia,2,
30061,0,United States,12,
30062,74,Canada,0,2878000.0
30063,5,United States,7,4606000.0
30064,630,Armenia,2,43656000.0
30065,1,United States,2,7000000.0
30066,0,Guatemala,7,
30067,3,United States,6,13280000.0
30068,6,Kenya,8,355000.0
30069,0,Denmark,3,2000000.0
30070,0,Germany,1,
30071,240,United States,1,42335000.0
30073,0,Netherlands,6,1400000.0
30074,120,Germany,14,5000000.0
30076,10,,12,10000000.0
30077,46,Australia,0,703000.0
30078,31,Portugal,11,1739000.0
30079,5,United Kingdom,14,298000.0
30080,0,Germany,1,
30081,30,United Kingdom,24,10285000.0
30082,21,Canada,1,7000000.0
30083,0,United States,0,
30084,320,United States,12,120000000.0
30085,0,,5,6000000.0
30086,4,United States,10,8000000.0
30087,19,Germany,8,11000000.0
30088,9,United States,0,10000000.0
30089,0,Germany,2,
30090,0,United Kingdom,0,
30091,2,United States,1,16577000.0
30092,0,United States,1,6000000.0
30093,9,Australia,18,8000000.0
30095,400,United States,23,113400000.0
30096,7,United States,11,2000000.0
30097,0,United Kingdom,9,
30098,1,Spain,1,
30099,4,United States,24,4200000.0
30100,17,United States,10,10000000.0
30101,47,United States,9,50000000.0
30110,35,United States,25,8890000.0
30102,4,United States,14,3592000.0
30104,65,United States,13,10377000.0
30105,2,United States,8,30003000.0
30106,0,United States,3,2400000.0
30107,38,United States,18,990000.0
30108,520,United States,22,75000000.0
30109,26,United States,12,194000.0
